"Applies to Edge Types","","","","","","","","","","","","","","","""Valid"" - Must put one of these values
""Recommened"" - Recommend this value but any value is accepted
"forbidden","optional
T3:recommended","optional
T3:recommended","optional","optional","optional","optional","optional
T1:recommended
T2:required","optional","optional","forbidden","forbidden","separation_elements","The materials used to separate the cycleway or footpath from motor vehicle traffic -- for example, as part of a buffer.","Array<Text>","Recommended","bollards
concrete barrier
parking
median
trees ","[""bollards"",""concrete barrier""]","","","","",""
"forbidden","optional","optional","optional","optional","optional","optional","optional
T1:recommended
T2:required","optional","optional","forbidden","forbidden","separation_permeable_car","Can a vehicle easily access this edge? Primarily intended for bikeways but could be used for pedestrian facilities.","Enum","Valid","hard separator:  the separator cannot be easily bypassed by motor vehicles (jersey barriers, curbs)

soft separator: the separator can be easily bypassed by motor vehicles (flex posts, k-rail) 

none: no separator is present (just paint separation) ","","","","","Merge with/add to seperation_elements?",""
"forbidden","optional
T3:recommended","optional
T3:recommended","optional","optional","optional","optional","optional
T3:recommended","optional","optional","forbidden","forbidden","buffer_width","Distance between the edge of the motor vehicle travel lane and the bike lane or sidewalk. Measured in feet and rounded to the nearest half foot. Cannot be negative.","Float","NA","","4","","","","",""
"forbidden","optional","optional","optional","optional","optional","optional","optional
T3:recommended","optional","optional","forbidden","forbidden","street_parking","Field intended to indicate orientation of street parking in relation to a bike facility. Floating street parking is also referred to as parking protected.","Enum","Valid","parallel 
angled 
floating: Also known as parking protected. Put this value if present regardless if parking is parallel/angled parking. ","","","","","Do we need to know which side the parking is?",""
"forbidden","optional","optional","optional","optional","optional","optional","optional
T2:recommended","optional","optional","forbidden","forbidden","street_parking_buffer","The space between a bicycle facility and the street parking. Measured in feet and rounded to the nearest half foot. Cannot be negative.","Float","NA","","","","","","It's best practice for a given key to represent only one property. If the orientation of street parking relative to the bike facility is relevant, the key should clearly reflect this (by being named `street_parking_orientation`) or the property of floating-ness should be either its own key (`parking_protected=yes|no`) or be wrapped into a key describing separation type (as in `separation_elements=parking` defined above, which this `floating` value duplicates)",""
"forbidden","forbidden","forbidden","forbidden","forbidden","optional
T3:recommended
T4:required","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","wheel_channel","Whether there is a wheel channel to allow for pushing a bicycle up the stairs.","Boolean","Valid","yes, no","","","","Only valid on stairs?","",""
"optional
T4:recommended","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","traffic_volume","Measures the motor vehicle annual average daily traffic (AADT) for the edge. Reported with no more than two significant figures. Cannot be negative.","Integer","NA","","1,540 would be 1,500","","","Might be nice to have metadata about the source","In addition to including motorized traffic volume, suggest to add Bike/Ped volume
","Rename ""mv_traffic_volume"" to make it clear this is for motor vehicles"
"optional
T4:recommended","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","optional","optional","optional","forbidden","forbidden","posted_speed_limit","Used to indicate the posted speed limit. Measured in miles per hour. Cannot be negative. If used on bikeway, multi-use path, or trail, it's assumed that is the speed limit for non-motorized users.","Integer","NA","","","","","I this would be an extension? Can put in 85th percentile speed or a generic prevailing speed value to detail the actual speed of cars on a road if they differ from the speed limit?

Keep source in metadata","",""
"optional
T4:recommended","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","mv_freeflow_speed","Used to indicate the free-flow motor vehicle speed. Suggest using the 85th percentile. Measured in miles per hour. Cannot be negative.","Integer","NA","","","","","Keep source in metadata","",""
"optional
T4:recommended","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","thru_lanes","Describes the number of vehicle thru lanes on an edge. Does not include turn lanes or shoulders. Cannot be negative.","Integer","NA","","","","","","",""
